initial_trust,initial_risk,round,quorum
0.1,0.18947368421052632,2,0.6297085479452977
0.1,0.18947368421052632,3,0.629585682909832
0.1,0.18947368421052632,4,0.6294205669075754
0.1,0.18947368421052632,5,0.6293084740192604
0.1,0.18947368421052632,6,0.6291779752870308
0.1,0.18947368421052632,7,0.6290397052228044
0.1,0.18947368421052632,8,0.6289225658052103
0.1,0.18947368421052632,9,0.6287930131905057
0.1,0.18947368421052632,10,0.6286823802537597
0.1,0.18947368421052632,11,0.6285451926261104
0.1,0.18947368421052632,12,0.6284408652997086
0.1,0.18947368421052632,13,0.6282962135950579
0.1,0.18947368421052632,14,0.6281833325297415
0.1,0.18947368421052632,15,0.6280350973591311
0.1,0.18947368421052632,16,0.6278811210592607
0.1,0.18947368421052632,17,0.627773036580823
0.1,0.18947368421052632,18,0.627665185588365
0.1,0.18947368421052632,19,0.6275596131862663
0.1,0.18947368421052632,20,0.6274492736575659
0.1,0.18947368421052632,21,0.6273111253287884
0.1,0.18947368421052632,22,0.6271651507666509
0.1,0.18947368421052632,23,0.6270572199801039
0.1,0.18947368421052632,24,0.6268937560641323
0.1,0.18947368421052632,25,0.6267618643090546
0.1,0.18947368421052632,26,0.6266031864078787
0.1,0.18947368421052632,27,0.6265039470431477
0.1,0.18947368421052632,28,0.6263616756358602
0.1,0.18947368421052632,29,0.6262501158566526
0.1,0.18947368421052632,30,0.6260969462452365
0.1,0.18947368421052632,31,0.6259703816344601
0.1,0.18947368421052632,32,0.6258205441528941
0.1,0.18947368421052632,33,0.6256843235012283
0.1,0.18947368421052632,34,0.6255219166031268
0.1,0.18947368421052632,35,0.6253569128285209
0.1,0.18947368421052632,36,0.6252029381822016
0.1,0.18947368421052632,37,0.625055697670754
0.1,0.18947368421052632,38,0.6249479309723912
0.1,0.18947368421052632,39,0.6248120896694976
0.1,0.18947368421052632,40,0.6246713358593505
0.1,0.18947368421052632,41,0.6245190681776557
